[ 06:56:56 ]BEB2 :24 [°C], 76.16 RH, 0.9244 bar

[ 09:00:27 ]CECE :31 [°C], 63.27 RH, 0.9238 bar

[ 09:00:27 ]EEEE :29 [°C], 67.22 RH, 0.9238 bar

[ 09:00:30 ]BEB2 :30 [°C], 63.27 RH, 0.9244 bar

[ 09:00:30 ]CCCC :30 [°C], 60.23 RH, 0.9238 bar

[ 09:00:30 ]EEEE :29 [°C], 67.22 RH, 0.9238 bar

[ 09:00:30 ]CECE :31 [°C], 63.27 RH, 0.9244 bar

[ 09:00:30 ]DAD1 :30 [°C], 63.65 RH, 0.9257 bar

[ 09:00:33 ]CECE :31 [°C], 63.27 RH, 0.9232 bar

[ 09:00:33 ]EEEE :29 [°C], 67.22 RH, 0.9238 bar

[ 09:00:33 ]DAD1 :30 [°C], 63.65 RH, 0.9244 bar

[ 09:00:33 ]BEB2 :30 [°C], 63.27 RH, 0.9232 bar

[ 09:00:33 ]CCCC :30 [°C], 60.23 RH, 0.9251 bar

[ 09:00:39 ]CECE :31 [°C], 63.21 RH, 0.9238 bar

[ 09:00:39 ]EEEE :29 [°C], 67.19 RH, 0.9232 bar

[ 09:00:39 ]CCCC :30 [°C], 60.29 RH, 0.9251 bar

[ 09:00:39 ]BEB2 :30 [°C], 63.27 RH, 0.9232 bar

[ 09:00:39 ]DAD1 :30 [°C], 63.62 RH, 0.9244 bar

[ 09:00:42 ]CECE :31 [°C], 63.21 RH, 0.9232 bar

[ 09:00:42 ]EEEE :29 [°C], 67.22 RH, 0.9232 bar

[ 09:00:42 ]DAD1 :30 [°C], 63.62 RH, 0.9238 bar

[ 09:00:42 ]BEB2 :30 [°C], 63.27 RH, 0.9244 bar

[ 09:00:42 ]CCCC :30 [°C], 60.32 RH, 0.9251 bar

[ 09:00:45 ]CECE :31 [°C], 63.21 RH, 0.9232 bar

[ 09:00:45 ]BEB2 :30 [°C], 63.24 RH, 0.9251 bar

[ 09:00:45 ]CCCC :30 [°C], 60.32 RH, 0.9251 bar

[ 09:00:45 ]DAD1 :30 [°C], 63.62 RH, 0.9257 bar

[ 09:00:45 ]EEEE :29 [°C], 67.19 RH, 0.9232 bar

[ 09:00:48 ]CECE :31 [°C], 63.24 RH, 0.9232 bar

[ 09:00:48 ]DAD1 :30 [°C], 63.62 RH, 0.9244 bar

[ 09:00:48 ]CCCC :30 [°C], 60.35 RH, 0.9238 bar

[ 09:00:48 ]BEB2 :30 [°C], 63.24 RH, 0.9232 bar

[ 09:00:48 ]EEEE :29 [°C], 67.19 RH, 0.9232 bar

[ 09:00:51 ]CECE :31 [°C], 63.27 RH, 0.9232 bar

[ 09:00:51 ]EEEE :29 [°C], 67.16 RH, 0.9238 bar

[ 09:00:51 ]CCCC :30 [°C], 60.38 RH, 0.9251 bar

[ 09:00:51 ]DAD1 :30 [°C], 63.62 RH, 0.9244 bar

[ 09:00:51 ]BEB2 :30 [°C], 63.24 RH, 0.9244 bar

[ 09:00:54 ]DAD1 :30 [°C], 63.62 RH, 0.9244 bar

[ 09:00:54 ]CCCC :30 [°C], 60.38 RH, 0.9251 bar

[ 09:00:54 ]CECE :31 [°C], 63.36 RH, 0.9238 bar

[ 09:00:54 ]EEEE :29 [°C], 67.16 RH, 0.9232 bar

[ 09:00:54 ]BEB2 :30 [°C], 63.27 RH, 0.9232 bar

[ 09:00:57 ]DAD1 :30 [°C], 63.65 RH, 0.9238 bar

[ 09:00:57 ]BEB2 :30 [°C], 63.27 RH, 0.9232 bar

[ 09:00:57 ]CECE :31 [°C], 63.39 RH, 0.9232 bar

[ 09:00:57 ]EEEE :29 [°C], 67.16 RH, 0.9238 bar

[ 09:00:57 ]CCCC :30 [°C], 60.38 RH, 0.9238 bar

[ 09:01:00 ]CECE :31 [°C], 63.39 RH, 0.9225 bar

[ 09:01:00 ]BEB2 :30 [°C], 63.27 RH, 0.9244 bar

[ 09:01:00 ]EEEE :29 [°C], 67.16 RH, 0.9238 bar

[ 09:01:00 ]DAD1 :30 [°C], 63.65 RH, 0.9244 bar

[ 09:01:00 ]CCCC :30 [°C], 60.38 RH, 0.9251 bar

[ 09:01:03 ]EEEE :29 [°C], 67.16 RH, 0.9238 bar

[ 09:01:03 ]CCCC :30 [°C], 60.35 RH, 0.9238 bar

[ 09:01:03 ]CECE :31 [°C], 63.36 RH, 0.9225 bar

[ 09:01:03 ]DAD1 :30 [°C], 63.65 RH, 0.9238 bar

[ 09:01:03 ]BEB2 :30 [°C], 63.27 RH, 0.9232 bar

[ 09:01:12 ]CECE :31 [°C], 63.33 RH, 0.9225 bar

[ 09:01:12 ]DAD1 :30 [°C], 63.65 RH, 0.9244 bar

[ 09:01:12 ]BEB2 :30 [°C], 63.21 RH, 0.9244 bar

[ 09:01:12 ]CCCC :30 [°C], 60.23 RH, 0.9251 bar

[ 09:01:12 ]EEEE :29 [°C], 67.16 RH, 0.9238 bar

[ 09:01:15 ]EEEE :29 [°C], 67.16 RH, 0.9232 bar

[ 09:01:15 ]CCCC :30 [°C], 60.23 RH, 0.9238 bar

[ 09:01:15 ]DAD1 :30 [°C], 63.62 RH, 0.9238 bar

[ 09:01:15 ]CECE :31 [°C], 63.30 RH, 0.9244 bar

[ 09:01:15 ]BEB2 :30 [°C], 63.15 RH, 0.9232 bar

[ 09:01:21 ]BEB2 :30 [°C], 63.12 RH, 0.9232 bar

[ 09:01:21 ]CECE :31 [°C], 63.30 RH, 0.9232 bar

[ 09:01:21 ]CCCC :30 [°C], 60.23 RH, 0.9238 bar

[ 09:01:21 ]EEEE :29 [°C], 67.16 RH, 0.9232 bar

[ 09:01:21 ]DAD1 :30 [°C], 63.59 RH, 0.9257 bar

[ 09:01:27 ]CCCC :30 [°C], 60.26 RH, 0.9238 bar

[ 09:01:27 ]EEEE :29 [°C], 67.14 RH, 0.9238 bar

[ 09:01:27 ]DAD1 :30 [°C], 63.56 RH, 0.9238 bar

[ 09:01:27 ]BEB2 :30 [°C], 63.10 RH, 0.9232 bar

[ 09:01:27 ]CECE :31 [°C], 63.27 RH, 0.9232 bar

[ 09:01:30 ]DAD1 :30 [°C], 63.59 RH, 0.9244 bar

[ 09:01:30 ]BEB2 :30 [°C], 63.12 RH, 0.9232 bar

[ 09:01:30 ]EEEE :29 [°C], 67.14 RH, 0.9238 bar

[ 09:01:30 ]CECE :31 [°C], 63.27 RH, 0.9232 bar

[ 09:01:30 ]CCCC :30 [°C], 60.20 RH, 0.9251 bar

[ 09:01:33 ]BEB2 :30 [°C], 63.12 RH, 0.9232 bar

[ 09:01:33 ]CECE :31 [°C], 63.27 RH, 0.9232 bar

[ 09:01:33 ]CCCC :30 [°C], 60.09 RH, 0.9238 bar

[ 09:01:33 ]EEEE :29 [°C], 67.14 RH, 0.9238 bar

[ 09:01:34 ]DAD1 :30 [°C], 63.59 RH, 0.9238 bar

[ 09:01:36 ]CECE :31 [°C], 63.24 RH, 0.9225 bar

[ 09:01:36 ]BEB2 :30 [°C], 63.12 RH, 0.9232 bar

[ 09:01:36 ]EEEE :29 [°C], 67.14 RH, 0.9238 bar

[ 09:01:37 ]CCCC :30 [°C], 60.06 RH, 0.9238 bar

[ 09:01:37 ]DAD1 :30 [°C], 63.59 RH, 0.9238 bar

[ 09:01:39 ]BEB2 :30 [°C], 63.12 RH, 0.9232 bar

[ 09:01:39 ]CCCC :30 [°C], 60.06 RH, 0.9251 bar

[ 09:01:39 ]EEEE :29 [°C], 67.14 RH, 0.9238 bar

[ 09:01:40 ]DAD1 :30 [°C], 63.59 RH, 0.9238 bar

[ 09:01:40 ]CECE :31 [°C], 63.21 RH, 0.9232 bar

[ 09:01:42 ]DAD1 :30 [°C], 63.59 RH, 0.9238 bar

[ 09:01:42 ]EEEE :29 [°C], 67.14 RH, 0.9232 bar

[ 09:01:43 ]CECE :31 [°C], 63.18 RH, 0.9232 bar

[ 09:01:43 ]CCCC :30 [°C], 60.02 RH, 0.9238 bar

[ 09:01:43 ]BEB2 :30 [°C], 63.12 RH, 0.9232 bar

[ 09:01:48 ]CCCC :30 [°C], 59.96 RH, 0.9251 bar

[ 09:01:48 ]DAD1 :30 [°C], 63.53 RH, 0.9238 bar

[ 09:01:48 ]CECE :31 [°C], 63.18 RH, 0.9225 bar

[ 09:01:49 ]EEEE :29 [°C], 67.14 RH, 0.9238 bar

[ 09:01:49 ]BEB2 :30 [°C], 63.10 RH, 0.9232 bar

[ 09:01:52 ]CECE :31 [°C], 63.09 RH, 0.9225 bar

[ 09:01:52 ]CCCC :30 [°C], 59.93 RH, 0.9238 bar

[ 09:01:52 ]BEB2 :30 [°C], 63.10 RH, 0.9244 bar

[ 09:01:52 ]DAD1 :30 [°C], 63.53 RH, 0.9244 bar

[ 09:01:52 ]EEEE :29 [°C], 67.14 RH, 0.9238 bar

[ 09:01:58 ]CECE :31 [°C], 63.03 RH, 0.9225 bar

[ 09:01:58 ]CCCC :30 [°C], 59.90 RH, 0.9251 bar

[ 09:01:58 ]EEEE :29 [°C], 67.14 RH, 0.9238 bar

[ 09:01:58 ]BEB2 :30 [°C], 63.07 RH, 0.9232 bar

[ 09:01:58 ]DAD1 :30 [°C], 63.53 RH, 0.9244 bar

[ 09:02:01 ]EEEE :29 [°C], 67.14 RH, 0.9238 bar

[ 09:02:01 ]BEB2 :30 [°C], 63.07 RH, 0.9232 bar

[ 09:02:01 ]CCCC :30 [°C], 59.90 RH, 0.9244 bar

[ 09:02:01 ]DAD1 :30 [°C], 63.50 RH, 0.9238 bar

[ 09:02:04 ]CECE :31 [°C], 63.03 RH, 0.9232 bar

[ 09:02:04 ]EEEE :29 [°C], 67.10 RH, 0.9238 bar

[ 09:02:04 ]CCCC :30 [°C], 59.93 RH, 0.9251 bar

[ 09:02:04 ]DAD1 :30 [°C], 63.50 RH, 0.9244 bar

[ 09:02:04 ]BEB2 :30 [°C], 63.07 RH, 0.9232 bar

[ 09:02:10 ]DAD1 :30 [°C], 63.53 RH, 0.9244 bar

[ 09:02:10 ]CCCC :30 [°C], 59.96 RH, 0.9238 bar

[ 09:02:10 ]EEEE :29 [°C], 67.07 RH, 0.9238 bar

[ 09:02:10 ]CECE :31 [°C], 63.06 RH, 0.9225 bar

[ 09:02:10 ]BEB2 :30 [°C], 63.07 RH, 0.9244 bar

[ 09:02:16 ]CECE :31 [°C], 63.12 RH, 0.9232 bar

[ 09:02:16 ]BEB2 :30 [°C], 63.07 RH, 0.9244 bar

[ 09:02:16 ]CCCC :30 [°C], 59.99 RH, 0.9238 bar

[ 09:02:16 ]EEEE :29 [°C], 67.05 RH, 0.9238 bar

[ 09:02:16 ]DAD1 :30 [°C], 63.53 RH, 0.9244 bar

[ 09:02:25 ]CECE :31 [°C], 63.18 RH, 0.9232 bar

[ 09:02:25 ]CCCC :30 [°C], 60.09 RH, 0.9251 bar

[ 09:02:25 ]BEB2 :30 [°C], 63.07 RH, 0.9244 bar

[ 09:02:25 ]EEEE :29 [°C], 67.07 RH, 0.9238 bar

[ 09:02:25 ]DAD1 :30 [°C], 63.47 RH, 0.9244 bar

[ 09:02:28 ]BEB2 :30 [°C], 63.07 RH, 0.9232 bar

[ 09:02:28 ]CCCC :30 [°C], 60.02 RH, 0.9238 bar

[ 09:02:28 ]DAD1 :30 [°C], 63.47 RH, 0.9244 bar

[ 09:02:28 ]EEEE :29 [°C], 67.10 RH, 0.9238 bar

[ 09:02:28 ]CECE :31 [°C], 63.21 RH, 0.9232 bar

[ 09:02:31 ]CCCC :30 [°C], 60.02 RH, 0.9251 bar

[ 09:02:31 ]CECE :31 [°C], 63.18 RH, 0.9232 bar

[ 09:02:31 ]BEB2 :30 [°C], 63.10 RH, 0.9232 bar

[ 09:02:31 ]EEEE :29 [°C], 67.14 RH, 0.9238 bar

[ 09:02:31 ]DAD1 :30 [°C], 63.47 RH, 0.9244 bar

[ 09:02:40 ]EEEE :29 [°C], 67.14 RH, 0.9238 bar

[ 09:02:40 ]DAD1 :30 [°C], 63.53 RH, 0.9244 bar

[ 09:02:40 ]CECE :31 [°C], 63.18 RH, 0.9238 bar

[ 09:02:40 ]BEB2 :30 [°C], 63.15 RH, 0.9232 bar

[ 09:02:40 ]CCCC :30 [°C], 60.09 RH, 0.9238 bar

[ 09:02:43 ]CECE :31 [°C], 63.18 RH, 0.9225 bar

[ 09:02:43 ]DAD1 :30 [°C], 63.53 RH, 0.9232 bar

[ 09:02:43 ]CCCC :30 [°C], 60.09 RH, 0.9225 bar

[ 09:02:43 ]EEEE :29 [°C], 67.14 RH, 0.9238 bar

[ 09:02:43 ]BEB2 :30 [°C], 63.15 RH, 0.9244 bar

[ 09:02:46 ]BEB2 :30 [°C], 63.18 RH, 0.9238 bar

[ 09:02:46 ]DAD1 :30 [°C], 63.53 RH, 0.9238 bar

[ 09:02:46 ]CCCC :30 [°C], 60.17 RH, 0.9238 bar

[ 09:02:46 ]CECE :31 [°C], 63.21 RH, 0.9232 bar

[ 09:02:46 ]EEEE :29 [°C], 67.14 RH, 0.9232 bar

[ 09:02:49 ]CECE :31 [°C], 63.24 RH, 0.9225 bar

[ 09:02:49 ]CCCC :30 [°C], 60.20 RH, 0.9238 bar

[ 09:02:49 ]DAD1 :30 [°C], 63.56 RH, 0.9244 bar

[ 09:02:49 ]EEEE :29 [°C], 67.11 RH, 0.9238 bar

[ 09:02:49 ]BEB2 :30 [°C], 63.21 RH, 0.9232 bar

[ 09:02:52 ]CECE :31 [°C], 63.27 RH, 0.9225 bar

[ 09:02:52 ]DAD1 :30 [°C], 63.62 RH, 0.9257 bar

[ 09:02:52 ]BEB2 :30 [°C], 63.24 RH, 0.9232 bar

[ 09:02:52 ]EEEE :29 [°C], 67.08 RH, 0.9238 bar

[ 09:02:52 ]CCCC :30 [°C], 60.23 RH, 0.9238 bar

[ 09:02:55 ]EEEE :29 [°C], 67.05 RH, 0.9238 bar

[ 09:02:55 ]BEB2 :30 [°C], 63.27 RH, 0.9232 bar

[ 09:02:55 ]DAD1 :30 [°C], 63.62 RH, 0.9238 bar

[ 09:02:55 ]CECE :31 [°C], 63.27 RH, 0.9225 bar

[ 09:02:55 ]CCCC :30 [°C], 60.23 RH, 0.9238 bar

[ 09:02:58 ]EEEE :29 [°C], 67.05 RH, 0.9238 bar

[ 09:02:58 ]CECE :31 [°C], 63.27 RH, 0.9232 bar

[ 09:02:58 ]BEB2 :30 [°C], 63.27 RH, 0.9251 bar

[ 09:02:58 ]DAD1 :30 [°C], 63.65 RH, 0.9244 bar

[ 09:02:58 ]CCCC :30 [°C], 60.26 RH, 0.9238 bar

[ 09:03:04 ]CECE :31 [°C], 63.27 RH, 0.9244 bar

[ 09:03:04 ]DAD1 :30 [°C], 63.68 RH, 0.9244 bar

[ 09:03:04 ]CCCC :30 [°C], 60.26 RH, 0.9238 bar

[ 09:03:04 ]EEEE :29 [°C], 67.00 RH, 0.9238 bar

[ 09:03:04 ]BEB2 :30 [°C], 63.27 RH, 0.9232 bar

[ 09:03:07 ]EEEE :29 [°C], 67.03 RH, 0.9232 bar

[ 09:03:07 ]DAD1 :30 [°C], 63.68 RH, 0.9244 bar

[ 09:03:07 ]CCCC :30 [°C], 60.26 RH, 0.9238 bar

[ 09:03:07 ]CECE :31 [°C], 63.24 RH, 0.9232 bar

[ 09:03:07 ]BEB2 :30 [°C], 63.27 RH, 0.9232 bar

[ 09:03:10 ]CECE :31 [°C], 63.27 RH, 0.9225 bar

[ 09:03:10 ]BEB2 :30 [°C], 63.24 RH, 0.9232 bar

[ 09:03:10 ]CCCC :30 [°C], 60.26 RH, 0.9238 bar

[ 09:03:10 ]EEEE :29 [°C], 67.03 RH, 0.9238 bar

[ 09:03:10 ]DAD1 :30 [°C], 63.68 RH, 0.9244 bar

[ 09:03:13 ]CECE :31 [°C], 63.27 RH, 0.9232 bar

[ 09:03:13 ]EEEE :29 [°C], 67.03 RH, 0.9238 bar

[ 09:03:13 ]BEB2 :30 [°C], 63.24 RH, 0.9244 bar

[ 09:03:13 ]DAD1 :30 [°C], 63.70 RH, 0.9244 bar

[ 09:03:13 ]CCCC :30 [°C], 60.29 RH, 0.9238 bar

[ 09:03:16 ]CECE :31 [°C], 63.31 RH, 0.9232 bar

[ 09:03:16 ]EEEE :29 [°C], 67.03 RH, 0.9238 bar

[ 09:03:16 ]DAD1 :30 [°C], 63.70 RH, 0.9238 bar

[ 09:03:16 ]BEB2 :30 [°C], 63.24 RH, 0.9244 bar

[ 09:03:16 ]CCCC :30 [°C], 60.26 RH, 0.9251 bar

[ 09:03:19 ]EEEE :29 [°C], 67.00 RH, 0.9238 bar

[ 09:03:19 ]DAD1 :30 [°C], 63.70 RH, 0.9244 bar

[ 09:03:19 ]BEB2 :30 [°C], 63.21 RH, 0.9232 bar

[ 09:03:19 ]CECE :31 [°C], 63.31 RH, 0.9232 bar

[ 09:03:20 ]CCCC :30 [°C], 60.23 RH, 0.9225 bar

[ 09:03:31 ]BEB2 :30 [°C], 63.15 RH, 0.9257 bar

[ 09:03:31 ]CECE :31 [°C], 63.24 RH, 0.9238 bar

[ 09:03:32 ]CCCC :30 [°C], 60.17 RH, 0.9238 bar

[ 09:03:32 ]EEEE :29 [°C], 67.00 RH, 0.9238 bar

[ 09:03:32 ]DAD1 :30 [°C], 63.65 RH, 0.9238 bar

[ 09:03:34 ]CECE :31 [°C], 63.24 RH, 0.9232 bar

[ 09:03:34 ]BEB2 :30 [°C], 63.12 RH, 0.9244 bar

[ 09:03:35 ]CCCC :30 [°C], 60.17 RH, 0.9238 bar

[ 09:03:35 ]DAD1 :30 [°C], 63.65 RH, 0.9244 bar

[ 09:03:35 ]EEEE :29 [°C], 67.03 RH, 0.9238 bar

[ 09:03:40 ]CCCC :30 [°C], 60.17 RH, 0.9238 bar

[ 09:03:41 ]EEEE :29 [°C], 67.03 RH, 0.9238 bar

[ 09:03:41 ]CECE :31 [°C], 63.21 RH, 0.9232 bar

[ 09:03:41 ]DAD1 :30 [°C], 63.59 RH, 0.9238 bar

[ 09:03:41 ]BEB2 :30 [°C], 63.12 RH, 0.9244 bar

[ 09:03:44 ]EEEE :29 [°C], 67.05 RH, 0.9238 bar

[ 09:03:44 ]BEB2 :30 [°C], 63.12 RH, 0.9232 bar

[ 09:03:44 ]CECE :31 [°C], 63.15 RH, 0.9225 bar

[ 09:03:44 ]CCCC :30 [°C], 60.17 RH, 0.9238 bar

[ 09:03:44 ]DAD1 :30 [°C], 63.59 RH, 0.9251 bar

[ 09:03:50 ]CECE :31 [°C], 63.21 RH, 0.9225 bar

[ 09:03:50 ]DAD1 :30 [°C], 63.59 RH, 0.9225 bar

[ 09:03:50 ]CCCC :30 [°C], 60.17 RH, 0.9251 bar

[ 09:03:50 ]BEB2 :30 [°C], 63.15 RH, 0.9244 bar

[ 09:03:53 ]CECE :31 [°C], 63.21 RH, 0.9232 bar

[ 09:03:53 ]BEB2 :30 [°C], 63.15 RH, 0.9232 bar

[ 09:03:53 ]DAD1 :30 [°C], 63.59 RH, 0.9225 bar

[ 09:03:53 ]CCCC :30 [°C], 60.23 RH, 0.9251 bar

[ 09:03:56 ]BEB2 :30 [°C], 63.18 RH, 0.9232 bar

[ 09:03:56 ]CCCC :30 [°C], 60.29 RH, 0.9251 bar

[ 09:03:56 ]CECE :31 [°C], 63.21 RH, 0.9232 bar

[ 09:03:56 ]DAD1 :30 [°C], 63.59 RH, 0.9238 bar

[ 09:03:56 ]EEEE :29 [°C], 67.08 RH, 0.9238 bar

[ 09:03:59 ]EEEE :29 [°C], 67.08 RH, 0.9251 bar

[ 09:03:59 ]DAD1 :30 [°C], 63.59 RH, 0.9244 bar

[ 09:03:59 ]CCCC :30 [°C], 60.35 RH, 0.9238 bar

[ 09:03:59 ]BEB2 :30 [°C], 63.18 RH, 0.9244 bar

[ 09:03:59 ]CECE :31 [°C], 63.21 RH, 0.9225 bar

[ 09:04:02 ]BEB2 :30 [°C], 63.18 RH, 0.9238 bar

[ 09:04:02 ]CCCC :30 [°C], 60.32 RH, 0.9238 bar

[ 09:04:02 ]DAD1 :30 [°C], 63.59 RH, 0.9244 bar

[ 09:04:02 ]CECE :31 [°C], 63.21 RH, 0.9232 bar

[ 09:04:02 ]EEEE :29 [°C], 67.11 RH, 0.9232 bar

[ 09:04:05 ]CECE :31 [°C], 63.21 RH, 0.9238 bar

[ 09:04:05 ]BEB2 :30 [°C], 63.18 RH, 0.9232 bar

[ 09:04:05 ]DAD1 :30 [°C], 63.62 RH, 0.9244 bar

[ 09:04:05 ]CCCC :30 [°C], 60.29 RH, 0.9238 bar

[ 09:04:05 ]EEEE :29 [°C], 67.08 RH, 0.9238 bar

[ 09:04:14 ]CECE :31 [°C], 63.15 RH, 0.9225 bar

[ 09:04:14 ]BEB2 :30 [°C], 63.21 RH, 0.9232 bar

[ 09:04:14 ]DAD1 :30 [°C], 63.62 RH, 0.9232 bar

[ 09:04:14 ]CCCC :30 [°C], 60.12 RH, 0.9225 bar

[ 09:04:14 ]EEEE :29 [°C], 67.08 RH, 0.9238 bar

[ 09:04:17 ]EEEE :29 [°C], 67.05 RH, 0.9238 bar

[ 09:04:17 ]BEB2 :30 [°C], 63.24 RH, 0.9225 bar

[ 09:04:17 ]CECE :31 [°C], 63.15 RH, 0.9225 bar

[ 09:04:17 ]DAD1 :30 [°C], 63.59 RH, 0.9244 bar

[ 09:04:17 ]CCCC :30 [°C], 60.09 RH, 0.9238 bar

[ 09:04:20 ]CCCC :30 [°C], 60.12 RH, 0.9251 bar

[ 09:04:20 ]BEB2 :30 [°C], 63.27 RH, 0.9244 bar

[ 09:04:20 ]EEEE :29 [°C], 67.05 RH, 0.9238 bar

[ 09:04:20 ]DAD1 :30 [°C], 63.59 RH, 0.9238 bar

[ 09:04:20 ]CECE :31 [°C], 63.15 RH, 0.9225 bar

[ 09:04:23 ]CECE :31 [°C], 63.15 RH, 0.9225 bar

[ 09:04:23 ]DAD1 :30 [°C], 63.59 RH, 0.9238 bar

[ 09:04:23 ]BEB2 :30 [°C], 63.27 RH, 0.9244 bar

[ 09:04:23 ]EEEE :29 [°C], 67.08 RH, 0.9232 bar

[ 09:04:23 ]CCCC :30 [°C], 60.12 RH, 0.9238 bar

[ 09:04:26 ]CECE :31 [°C], 63.21 RH, 0.9232 bar

[ 09:04:26 ]EEEE :29 [°C], 67.08 RH, 0.9238 bar

[ 09:04:26 ]DAD1 :30 [°C], 63.59 RH, 0.9244 bar

[ 09:04:26 ]BEB2 :30 [°C], 63.21 RH, 0.9232 bar

[ 09:04:26 ]CCCC :30 [°C], 60.09 RH, 0.9238 bar

[ 09:04:29 ]CECE :31 [°C], 63.24 RH, 0.9232 bar

[ 09:04:29 ]CCCC :30 [°C], 60.09 RH, 0.9251 bar

[ 09:04:29 ]BEB2 :30 [°C], 63.21 RH, 0.9244 bar

[ 09:04:29 ]EEEE :29 [°C], 67.08 RH, 0.9232 bar

[ 09:04:29 ]DAD1 :30 [°C], 63.59 RH, 0.9238 bar

[ 09:04:32 ]DAD1 :30 [°C], 63.59 RH, 0.9244 bar

[ 09:04:32 ]CCCC :30 [°C], 60.02 RH, 0.9238 bar

[ 09:04:32 ]CECE :31 [°C], 63.24 RH, 0.9232 bar

[ 09:04:32 ]BEB2 :30 [°C], 63.18 RH, 0.9232 bar

[ 09:04:32 ]EEEE :29 [°C], 67.11 RH, 0.9232 bar

[ 09:04:35 ]DAD1 :30 [°C], 63.56 RH, 0.9238 bar

[ 09:04:35 ]CCCC :30 [°C], 59.99 RH, 0.9238 bar

[ 09:04:35 ]CECE :31 [°C], 63.24 RH, 0.9225 bar

[ 09:04:35 ]EEEE :29 [°C], 67.08 RH, 0.9238 bar

[ 09:04:35 ]BEB2 :30 [°C], 63.15 RH, 0.9232 bar

[ 09:04:38 ]CCCC :30 [°C], 59.99 RH, 0.9238 bar

[ 09:04:38 ]DAD1 :30 [°C], 63.56 RH, 0.9244 bar

[ 09:04:38 ]BEB2 :30 [°C], 63.15 RH, 0.9232 bar

[ 09:04:38 ]EEEE :29 [°C], 67.11 RH, 0.9238 bar

[ 09:04:38 ]CECE :31 [°C], 63.24 RH, 0.9232 bar

[ 09:04:41 ]EEEE :29 [°C], 67.11 RH, 0.9238 bar

[ 09:04:41 ]DAD1 :30 [°C], 63.56 RH, 0.9244 bar

[ 09:04:41 ]BEB2 :30 [°C], 63.15 RH, 0.9232 bar

[ 09:04:41 ]CECE :31 [°C], 63.24 RH, 0.9225 bar

[ 09:04:42 ]CCCC :30 [°C], 60.02 RH, 0.9238 bar

[ 09:04:44 ]BEB2 :30 [°C], 63.12 RH, 0.9244 bar

[ 09:04:44 ]DAD1 :30 [°C], 63.53 RH, 0.9244 bar

[ 09:04:44 ]CCCC :30 [°C], 60.06 RH, 0.9251 bar

[ 09:04:44 ]EEEE :29 [°C], 67.08 RH, 0.9238 bar

[ 09:04:44 ]CECE :31 [°C], 63.27 RH, 0.9232 bar

[ 09:04:47 ]CECE :31 [°C], 63.31 RH, 0.9225 bar

[ 09:04:47 ]EEEE :29 [°C], 67.08 RH, 0.9238 bar

[ 09:04:47 ]CCCC :30 [°C], 60.09 RH, 0.9251 bar

[ 09:04:47 ]BEB2 :30 [°C], 63.12 RH, 0.9232 bar

[ 09:04:47 ]DAD1 :30 [°C], 63.53 RH, 0.9244 bar

[ 09:04:50 ]CECE :31 [°C], 63.33 RH, 0.9244 bar

[ 09:04:50 ]BEB2 :30 [°C], 63.12 RH, 0.9232 bar

[ 09:04:50 ]DAD1 :30 [°C], 63.53 RH, 0.9244 bar

[ 09:04:50 ]EEEE :29 [°C], 67.05 RH, 0.9238 bar

[ 09:04:50 ]CCCC :30 [°C], 60.09 RH, 0.9238 bar

[ 09:04:53 ]CECE :31 [°C], 63.33 RH, 0.9225 bar

[ 09:04:53 ]BEB2 :30 [°C], 63.12 RH, 0.9232 bar

[ 09:04:53 ]CCCC :30 [°C], 60.12 RH, 0.9238 bar

[ 09:04:53 ]DAD1 :30 [°C], 63.53 RH, 0.9244 bar

[ 09:04:56 ]BEB2 :30 [°C], 63.12 RH, 0.9225 bar

[ 09:04:56 ]CECE :31 [°C], 63.31 RH, 0.9232 bar

[ 09:04:56 ]CCCC :30 [°C], 60.17 RH, 0.9238 bar

[ 09:04:56 ]EEEE :29 [°C], 67.08 RH, 0.9238 bar

[ 09:04:56 ]DAD1 :30 [°C], 63.56 RH, 0.9238 bar

[ 09:05:02 ]CECE :31 [°C], 63.31 RH, 0.9225 bar

[ 09:05:02 ]EEEE :29 [°C], 67.11 RH, 0.9238 bar

[ 09:05:02 ]BEB2 :30 [°C], 63.12 RH, 0.9251 bar

[ 09:05:03 ]DAD1 :30 [°C], 63.59 RH, 0.9238 bar

[ 09:05:05 ]BEB2 :30 [°C], 63.12 RH, 0.9219 bar

[ 09:05:05 ]EEEE :29 [°C], 67.08 RH, 0.9238 bar

[ 09:05:05 ]CCCC :30 [°C], 60.23 RH, 0.9238 bar

[ 09:05:06 ]CECE :31 [°C], 63.31 RH, 0.9225 bar

[ 09:05:06 ]DAD1 :30 [°C], 63.59 RH, 0.9244 bar

